HOG	OG	Strain	Genes
N0.HOG0005304	OG0005103	GCA_009937765.1_ASM993776v1.faa	DNIGPGIE_03784, DNIGPGIE_00984
N0.HOG0005476	OG0005275	GCA_024498355.1_ASM2449835v1.faa	EPDLEIJC_00792, EPDLEIJC_00791
N0.HOG0005478	OG0005277	GCA_024498355.1_ASM2449835v1.faa	EPDLEIJC_01755, EPDLEIJC_01756
N0.HOG0005488	OG0005287	GCA_029478105.2_DSM492.faa	JOAMIMMC_00001, JOAMIMMC_03898
N0.HOG0005489	OG0005288	GCA_029478105.2_DSM492.faa	JOAMIMMC_03903, JOAMIMMC_00009
N0.HOG0005490	OG0005289	GCA_029478105.2_DSM492.faa	JOAMIMMC_03932, JOAMIMMC_00040
N0.HOG0005513	OG0005312	GCA_029478105.2_DSM492.faa	JOAMIMMC_03829, JOAMIMMC_03939
N0.HOG0005514	OG0005313	GCA_029478105.2_DSM492.faa	JOAMIMMC_03847, JOAMIMMC_03957
N0.HOG0005515	OG0005314	GCA_029478105.2_DSM492.faa	JOAMIMMC_03851, JOAMIMMC_03961
N0.HOG0005516	OG0005315	GCA_029478105.2_DSM492.faa	JOAMIMMC_03981, JOAMIMMC_03866
N0.HOG0005536	OG0005335	GCA_030717805.1_ASM3071780v1.faa	JKNJFFOE_02409, JKNJFFOE_02410
N0.HOG0005601	OG0005400	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_00014, EFIDABIH_04094
N0.HOG0005602	OG0005401	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_04095, EFIDABIH_00015
N0.HOG0005603	OG0005402	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_04103, EFIDABIH_00023
N0.HOG0005604	OG0005403	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_00024, EFIDABIH_04104
N0.HOG0005605	OG0005404	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_00050, EFIDABIH_04128
N0.HOG0005606	OG0005405	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_00057, EFIDABIH_04135
N0.HOG0005607	OG0005406	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_04137, EFIDABIH_00059
N0.HOG0005608	OG0005407	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_04138, EFIDABIH_00060
N0.HOG0005609	OG0005408	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_00062, EFIDABIH_04140
N0.HOG0005610	OG0005409	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_04144, EFIDABIH_00066
N0.HOG0005611	OG0005410	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_00067, EFIDABIH_04145
N0.HOG0005612	OG0005411	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_04153, EFIDABIH_00075
N0.HOG0005618	OG0005417	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_03945, EFIDABIH_03989
N0.HOG0005619	OG0005418	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_03958, EFIDABIH_04002
N0.HOG0005620	OG0005419	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_03970, EFIDABIH_04014
N0.HOG0005633	OG0005432	GCA_040250345.1_ASM4025034v1.faa	HLEJDDDL_03964, HLEJDDDL_03968
N0.HOG0005657	OG0005456	GCA_040893075.1_ASM4089307v1.faa	PMKPCILI_00602, PMKPCILI_00601
N0.HOG0005665	OG0005464	GCA_047224465.1_ASM4722446v1.faa	GKLJNGPF_03247, GKLJNGPF_00131
N0.HOG0005671	OG0005470	GCA_047224465.1_ASM4722446v1.faa	GKLJNGPF_01383, GKLJNGPF_02452
N0.HOG0005685	OG0005484	GCA_964063375.1_Bacillus_pumilus_CIRM.BIA2784.faa	ODDENHFK_00628, ODDENHFK_03894
