	GCA_000017885.4_ASM1788v4.faa	GCA_000691485.4_ASM69148v4.faa	GCA_000714495.3_ASM71449v3.faa	GCA_001578205.1_ASM157820v1.faa	GCA_001704975.1_ASM170497v1.faa	GCA_003431975.1_ASM343197v1.faa	GCA_003571425.1_ASM357142v1.faa	GCA_004006455.1_ASM400645v1.faa	GCA_009937765.1_ASM993776v1.faa	GCA_019710455.1_ASM1971045v1.faa	GCA_020520205.1_ASM2052020v1.faa	GCA_020535425.1_ASM2053542v1.faa	GCA_024498355.1_ASM2449835v1.faa	GCA_029478105.2_DSM492.faa	GCA_029634685.1_ASM2963468v1.faa	GCA_029857515.2_DSM1794.faa	GCA_029857565.2_DSM13835.faa	GCA_030717805.1_ASM3071780v1.faa	GCA_033112945.1_ASM3311294v1.faa	GCA_037113565.1_ASM3711356v1.faa	GCA_038734075.1_DSM-27.faa	GCA_038736375.1_P48C1.faa	GCA_038738535.1_V17C11.faa	GCA_039619495.1_ASM3961949v1.faa	GCA_039619525.1_ASM3961952v1.faa	GCA_039619745.1_ASM3961974v1.faa	GCA_040250345.1_ASM4025034v1.faa	GCA_040712205.1_JJ950.faa	GCA_040712255.1_JJ1622.faa	GCA_040712265.1_JJ1368.faa	GCA_040893075.1_ASM4089307v1.faa	GCA_042180925.1_ASM4218092v1.faa	GCA_046581415.1_ASM4658141v1.faa	GCA_047224465.1_ASM4722446v1.faa	GCA_047424865.1_ASM4742486v1.faa	GCA_050994975.1_ASM5099497v1.faa	GCA_050995305.1_ASM5099530v1.faa	GCA_050995315.1_ASM5099531v1.faa	GCA_050995325.1_ASM5099532v1.faa	GCA_050995335.1_ASM5099533v1.faa	GCA_050995345.1_ASM5099534v1.faa	GCA_050995355.1_ASM5099535v1.faa	GCA_050995395.1_ASM5099539v1.faa	GCA_050995435.1_ASM5099543v1.faa	GCA_050995465.1_ASM5099546v1.faa	GCA_050995495.1_ASM5099549v1.faa	GCA_051981715.1_ASM5198171v1.faa	GCA_052143355.1_ASM5214335v1.faa	GCA_052143365.1_ASM5214336v1.faa	GCA_052144035.1_ASM5214403v1.faa	GCA_052144045.1_ASM5214404v1.faa	GCA_900186955.1_49386_E02.faa	GCA_964063375.1_Bacillus_pumilus_CIRM-BIA2784.faa
Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	1842	1870	1878	1648	1802	1702	1839	1907	1803	1849	1893	1718	1905	1811	1810	1718	1761	1783	1849	1838	1636	1936	1949	1804	1664	1903	1630	1828	1863	1644	1871	1843	1803	1778	1946	1845	1845	1845	1845	1845	1844	1843	1865	1889	1889	1890	1819	1761	1770	1761	1761	1634	1770
'1	3616	3555	3556	3789	3653	3703	3610	3560	3639	3609	3575	3699	3531	3552	3632	3730	3652	3665	3609	3612	3803	3534	3516	3659	3663	3556	3812	3630	3600	3808	3593	3608	3659	3582	3522	3615	3615	3615	3614	3615	3616	3616	3537	3577	3577	3576	3620	3653	3646	3653	3653	3805	3617
'2	23	54	48	43	24	58	28	16	35	23	15	52	43	101	30	34	50	28	23	27	38	13	18	19	141	22	35	22	16	23	18	28	19	116	14	21	21	21	22	21	21	22	79	16	16	16	39	50	47	50	50	39	85
'3	2	6	3	4	6	15	3	1	4	3	2	10	4	13	6	2	14	5	3	6	6	1	1	2	12	3	6	4	2	4	2	5	4	3	2	2	2	2	2	2	2	2	4	3	3	3	7	13	14	13	13	5	11
'4	0	0	0	0	0	4	1	0	1	1	0	5	1	7	4	0	5	2	1	0	1	0	1	0	1	1	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	1	2
'5	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	1	2	0	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0
'6	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'9	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11-15	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	2	0	1	1	1	1	1	1	1	0	0	0	0	0	2	2	2	2	0	0
16-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	33.6	34.1	34.2	30.0	32.9	31.0	33.5	34.8	32.9	33.7	34.5	31.3	34.7	33.0	33.0	31.3	32.1	32.5	33.7	33.5	29.8	35.3	35.5	32.9	30.3	34.7	29.7	33.3	34.0	30.0	34.1	33.6	32.9	32.4	35.5	33.6	33.6	33.6	33.6	33.6	33.6	33.6	34.0	34.4	34.4	34.5	33.2	32.1	32.3	32.1	32.1	29.8	32.3
'1	65.9	64.8	64.8	69.1	66.6	67.5	65.8	64.9	66.3	65.8	65.2	67.4	64.4	64.8	66.2	68.0	66.6	66.8	65.8	65.9	69.3	64.4	64.1	66.7	66.8	64.8	69.5	66.2	65.6	69.4	65.5	65.8	66.7	65.3	64.2	65.9	65.9	65.9	65.9	65.9	65.9	65.9	64.5	65.2	65.2	65.2	66.0	66.6	66.5	66.6	66.6	69.4	65.9
'2	0.4	1.0	0.9	0.8	0.4	1.1	0.5	0.3	0.6	0.4	0.3	0.9	0.8	1.8	0.5	0.6	0.9	0.5	0.4	0.5	0.7	0.2	0.3	0.3	2.6	0.4	0.6	0.4	0.3	0.4	0.3	0.5	0.3	2.1	0.3	0.4	0.4	0.4	0.4	0.4	0.4	0.4	1.4	0.3	0.3	0.3	0.7	0.9	0.9	0.9	0.9	0.7	1.5
'3	0.0	0.1	0.1	0.1	0.1	0.3	0.1	0.0	0.1	0.1	0.0	0.2	0.1	0.2	0.1	0.0	0.3	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.2	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.2	0.3	0.2	0.2	0.1	0.2
'4	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0
'5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	3616	3555	3556	3789	3653	3703	3610	3560	3639	3609	3575	3699	3531	3552	3632	3730	3652	3665	3609	3612	3803	3534	3516	3659	3663	3556	3812	3630	3600	3808	3593	3608	3659	3582	3522	3615	3615	3615	3614	3615	3616	3616	3537	3577	3577	3576	3620	3653	3646	3653	3653	3805	3617
'2	46	108	96	86	48	116	56	32	70	46	30	104	86	202	60	68	100	56	46	54	76	26	36	38	282	44	70	44	32	46	36	56	38	232	28	42	42	42	44	42	42	44	158	32	32	32	78	100	94	100	100	78	170
'3	6	18	9	12	18	45	9	3	12	9	6	30	12	39	18	6	42	15	9	18	18	3	3	6	36	9	18	12	6	12	6	15	12	9	6	6	6	6	6	6	6	6	12	9	9	9	21	39	42	39	39	15	33
'4	0	0	0	0	0	16	4	0	4	4	0	20	4	28	16	0	20	8	4	0	4	0	4	0	4	4	4	0	0	8	4	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	4	8
'5	5	0	0	5	0	0	5	0	0	0	0	5	5	5	0	5	5	10	0	5	5	0	0	5	5	0	5	5	5	5	0	0	0	5	0	5	5	5	5	5	5	5	0	0	0	0	0	5	5	5	5	5	0
'6	0	0	0	0	0	12	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'9	0	0	0	0	0	0	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'10	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11-15	14	0	0	0	0	12	0	0	0	0	0	0	0	0	12	0	22	0	0	0	0	0	0	0	38	0	0	0	12	12	0	0	0	27	0	15	15	15	15	15	15	15	0	0	0	0	0	22	22	22	22	0	0
16-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
