COG	Description	GCA_050995395	GCA_019710455	GCA_046581415	GCA_038736375	GCA_050995335	GCA_039619525	GCA_039619745	GCA_052144035	GCA_050995305	GCA_900186955	GCA_040712255	GCA_052143365	GCA_003431975	GCA_029857515	GCA_001578205	GCA_052143355	GCA_040712265	GCA_039619495	GCA_030717805	GCA_050994975	GCA_050995495	GCA_029857565	GCA_040893075	GCA_050995435	GCA_040250345	GCA_047424865	GCA_964063375	GCA_000017885	GCA_050995345	GCA_029634685	GCA_052144045	GCA_000714495	GCA_038734075	GCA_004006455	GCA_050995355	GCA_000691485	GCA_040712205	GCA_047224465	GCA_020535425	GCA_037113565	GCA_029478105	GCA_038738535	GCA_051981715	GCA_033112945	GCA_050995465	GCA_042180925	GCA_050995315	GCA_001704975	GCA_009937765	GCA_020520205	GCA_024498355	GCA_003571425	GCA_050995325
N	Cell motility	13	11	14	11	13	12	12	13	13	14	12	13	16	15	16	13	14	13	14	13	12	13	11	12	17	11	12	13	13	12	13	13	14	12	13	13	12	15	12	12	16	11	14	11	12	10	13	14	13	12	8	12	13
Z	Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
W	Extracellular structures	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	0	2	0	0	1	1	0	1	0	2	1	1	0	1	1	1	1	1	0	1	5	1	0	0	0
U	Intracellular trafficking, secretion, vesicular transport	4	4	6	5	4	4	5	4	4	6	4	4	6	8	10	4	4	4	7	4	4	4	5	4	8	4	4	4	4	6	4	4	6	5	4	6	3	7	5	5	6	4	5	4	4	4	4	6	9	4	4	5	4
O	Posttranslational modification, protein turnover, chaperones	7	5	7	8	6	6	5	8	6	7	8	8	8	11	10	8	8	8	6	6	7	8	8	7	7	6	9	7	6	10	8	8	8	5	6	8	9	10	8	4	6	7	9	5	7	9	6	7	6	6	7	6	6
C	Energy production and conversion	25	21	19	16	15	23	15	20	15	27	14	20	15	25	24	20	14	23	20	15	26	20	26	26	23	17	21	15	15	22	20	21	26	19	15	25	25	26	25	21	18	17	19	21	26	18	15	19	15	21	19	15	15
G	Carbohydrate transport and metabolism	43	34	33	34	40	40	33	43	40	41	35	43	32	42	42	43	35	39	43	40	41	43	44	41	42	31	45	40	40	40	43	46	40	32	40	45	37	44	39	35	38	35	40	34	41	35	40	33	37	38	28	42	40
E	Amino acid transport and metabolism	42	44	40	42	45	43	44	40	45	47	40	39	35	48	48	40	40	43	42	45	40	40	43	40	42	37	50	46	45	42	40	44	47	39	45	46	40	50	44	44	42	38	46	44	40	51	45	40	46	42	39	48	45
F	Nucleotide transport and metabolism	8	5	6	4	7	19	6	6	7	11	7	5	12	6	6	6	19	6	6	7	6	6	6	6	9	4	6	7	7	6	6	5	11	6	7	5	6	8	6	5	14	4	4	5	6	6	7	6	6	4	7	6	7
H	Coenzyme transport and metabolism	17	10	15	12	15	16	12	17	15	20	17	17	15	16	16	17	19	16	17	15	15	17	15	15	19	14	16	16	15	18	17	12	20	14	15	12	17	18	17	14	17	12	12	10	15	13	15	15	15	12	13	14	15
I	Lipid transport and metabolism	16	8	11	12	16	10	12	11	16	16	16	11	13	17	17	11	16	13	18	16	15	11	15	15	14	13	17	16	16	17	11	11	16	11	16	12	18	16	15	15	12	14	11	8	15	15	16	11	17	16	14	15	16
P	Inorganic ion transport and metabolism	37	49	48	47	44	38	49	39	44	37	40	39	34	44	44	39	40	36	44	44	34	39	37	34	38	47	46	44	44	41	39	53	37	47	44	54	37	44	36	49	48	46	49	49	34	52	44	48	44	49	40	44	45
Q	Secondary metabolites biosynthesis, transport, catabolism	18	29	14	14	12	11	17	12	12	15	13	11	17	13	13	12	13	14	13	12	12	12	14	12	15	12	13	12	12	14	12	16	15	12	12	18	17	18	13	14	13	13	12	29	12	15	12	14	23	14	14	15	12
R	General function prediction only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S	Function unknown	134	104	139	115	144	177	112	209	144	193	132	209	166	171	175	210	153	157	156	144	133	210	134	133	172	105	175	144	143	157	210	132	192	122	145	132	138	153	195	161	152	111	160	105	133	135	143	139	154	118	106	153	144
